key	comment	fr	en	es	ab	zh	ru	hy	bg	pt	cs	de	et	fa	fi	he	it	ja	ko	hu	nl	pl	ro	sr	sk	sl	sv	uk
welcome_to_baratinage	Google translate used except for 'fr' and 'en'	Bienvenue dans <b>BaRatinAGE</b>	Welcome to <b>BaRatinAGE</b>	Bienvenido a <b>BaRatinAGE</b>	مرحبًا بك في <b>BaRatinAGE</b>	欢迎来到<b>BaRatinAGE</b>	Добро пожаловать в <b>BaRatinAGE</b>	Բարի գալուստ <b>BaRatinAGE</b>	Добре дошли в <b>BaRatinAGE</b>	Bem-vindo ao <b>BaRatinAGE</b>	Vítejte v <b>BaRatinAGE</b>	Willkommen bei <b>BaRatinAGE</b>	Tere tulemast programmi <b>BaRatinAGE</b>	به <b>BaRatinAGE</b> خوش آمدید	Tervetuloa <b>BaRatinAGEen</b>	ברוכים הבאים אל <b>BaRatinAGE</b>	Benvenuto su <b>BaRatinAGE</b>	<b>BaRatinAGE</b> へようこそ	<b>BaRatinAGE</b>에 오신 것을 환영합니다.	Üdvözli a <b>BaRatinAGE</b>	Welkom bij <b>BaRatinAGE</b>	Witamy w <b>BaRatinAGE</b>	Bun venit la <b>BaRatinAGE</b>	Добродошли у <б>БаРатинАГЕ</б>	Vitajte v <b>BaRatinAGE</b>	Dobrodošli v <b>BaRatinAGE</b>	Välkommen till <b>BaRatinAGE</b>	Ласкаво просимо до <b>BaRatinAGE</b>
close	Google translate used except for 'fr' and 'en'	Fermer	Close	Cerca	يغلق	关闭	Закрывать	փակել	Близо	Fechar	Zavřít	Schließen	Sulge	بستن	kiinni	סגור	Vicino	近い	닫다	Bezárás	Dichtbij	Zamknąć	Închide	Близу	Zavrieť	Zapri	Stänga	Закрити
cancel		Annuler	Cancel	Cancelar	يلغي	取消	Отменить	Չեղարկել	Откажи	Cancelar	zrušení	Abbrechen	Tühista	لغو کردن	Peruuta	לְבַטֵל	Cancella	キャンセル	취소	Mégsem	Annuleren	Anuluj	Anulează	Поништити, отказати	Zrušiť	Prekliči	Avbryt	Скасувати
delete		Supprimer	Delete	Borrar	حذف	删除	Удалить	Ջնջել	Изтрий	Excluir	Vymazat	Löschen	Kustuta	حذف کردن	Poista	לִמְחוֹק	Elimina	削除	삭제	Törlés	Verwijderen	Usuń	Ștergeți	Избриши	Odstrániť	Briši	Radera	Видалити
duplicate		Dupliquer	Duplicate	Duplicar	ينسخ	复制	Дублировать	Կրկնօրինակեք	Дублирай 	Duplicar	duplikovat	Duplizieren	Duplitseeri	تکرار	Tee kopio / Tee kaksoiskappale	לְשַׁכְפֵּל	Duplica	複製	복제	Duplikátum	Dupliceren	Duplikat	Duplicare	Дупликат	Duplikovať	Podvojitev	Duplicera	Дублікат
reset	Google translate used except for 'fr' and 'en'	Réinitialiser	Reset	Reiniciar	إعادة ضبط	重置	Перезагрузить	Վերականգնել	Нулиране	Reiniciar	Resetovat	Zurücksetzen	Lähtesta	بازنشانی کنید	Nollaa	אִתחוּל	Ripristina	リセット	초기화	Visszaállítás	Opnieuw instellen	Resetowanie	Resetați	Ресетовати	Resetovať	Ponastaviti	Återställa	Скинути
continue	Google translate used except for 'fr' and 'en'	Continuer	Continue	Continuar	يكمل	继续	Продолжать	Շարունակել	продължи	Continuar	Pokračovat	Weitermachen	Jätka	ادامه هید	Jatkaa	לְהַמשִׁיך	Continua	続く	계속하다	Folytatni	Doorgaan	Kontynuować	Continua	Настави	ďalej	Nadaljuj	Fortsätta	Продовжити
open		Ouvrir	Open	Abrir	فتح	打开	Открыть	Բաց	Отвори	Abrir	Otevřít	Öffnen	Avatud	باز کردن	Avaa	לִפְתוֹחַ	Apri	開く	열기	Megnyitás	Open	Otwórz	Deschideți	Отвори	Otvoriť	Odpri	Öppna	Відкрити
save		Sauvegarder	Save	Guardar	يحفظ	保存	Сохранить	Պահպանել	Запиши	Salvar	Uložit	Speichern	Salvesta	ذخیره کردن	Tallenna	לשמור	Salva	保存	저장	Mentés	Opslaan	Zapisz	Salvați	сачувати	Uložiť	Shrani	Spara	Зберегти
look_in	Google translate used except for 'fr' and 'en'	Rechercher dans	Look in	Pase a ver	إنظر في	在看	Заглянуть	Տես	Погледни вътре	Olhar dentro	Koukni do	Blick in	Vaata sisse	نگاه کن	Katso sisään	להסתכל לתוך	Guarda dentro	覗く	들여다보기	Benéz	Kijk in	Zaglądać	Uită-te în	Погледај у	Pozrieť sa do	Poglej v	Titta in	Заглядати
save_in	Google translate used except for 'fr' and 'en'	Sauvegarder dans	Save in	Guardar en	أحفظ في	保存在	Сохранить в	Պահպանել	Запазване в	Salvar em	Uložit do	Speichern in	Salvestage sisse	ذخیره کنید	Tallenna sisään	שמור ב	Risparmia	保存先	다음에 저장	Mentse el	Opslaan in	Zapisz w	Salvați în	Сачувај у	Uložiť	Shrani v	Spara in	Зберегти в
file_name	Google translate used except for 'fr' and 'en'	Nom du fichier	File name	Nombre del archivo	اسم الملف	文件名	Имя файла	Ֆայլի անունը	Име на файл	Nome do arquivo	Název souboru	Dateiname	Faili nimi	نام فایل	Tiedoston nimi	שם קובץ	Nome del file	ファイル名	파일 이름	Fájl név	Bestandsnaam	Nazwa pliku	Nume de fișier	Назив документа	Názov súboru	Ime datoteke	Filnamn	Ім'я файлу
file_type	Google translate used except for 'fr' and 'en'	Type de fichier	File type	Tipo de archivo	نوع الملف	文件类型	Тип файла	Ֆայլի տեսակը	Тип файл	Tipo de arquivo	Typ souboru	Dateityp	Faili tüüp	نوع فایل	Tiedostotyyppi	סוג קובץ	Tipo di file	ファイルの種類	파일 형식	Fájltípus	Bestandstype	Typ pliku	Tip fișier	Тип датотеке	Typ súboru	Vrsta datoteke	Filtyp	Тип файлу
all_files	Google translate used except for 'fr' and 'en'	Tous les fichiers (*, *)	All files (*, *)	Todos los archivos (*, *)	كل الملفات (*، *)	全部文件 （*， *）	Все файлы (*, *)	Բոլոր ֆայլերը (*, *)	Всички файлове (*, *)	Todos os arquivos (*, *)	Všechny soubory (*, *)	Alle Dateien (*, *)	Kõik failid (*, *)	تمام فایل های (*، *)	Kaikki tiedostot (*, *)	כל הקבצים (*, *)	Tutti i files (*, *)	すべてのファイル （*、 *）	모든 파일(*, *)	Minden fájl (*, *)	Alle bestanden (*, *)	Wszystkie pliki (*, *)	Toate filele (*, *)	Све датотеке (*, *)	Všetky súbory (*, *)	Vse datoteke (*, *)	Alla filer (*, *)	Всі файли (*, *)
parent_folder	Google translate used except for 'fr' and 'en'	Dossier parent	Parent folder	Carpeta principal	المجلد الأصل	父文件夹	Родительская папка	Ծնող թղթապանակ	Родителска папка	Pasta Pai	Nadřazená složka	Übergeordneter Ordner	Ülemkaust	پوشه اصلی یا پوشه منبع	Pääkansio	תיקיית אב	Cartella principale	親フォルダー	상위 폴더	Szülőmappa	Bovenliggende map	Folder nadrzędny	Dosarul părinte	Родитељски директоријум	Nadradený priečinok	Nadrejena mapa	Föräldramapp	Батьківська папка
desktop	Google translate used except for 'fr' and 'en'	Bureau	Desktop	Escritorio	سطح المكتب	桌面	Рабочий стол	Սեղան	работен плот	Área de Trabalho	plocha počítače	Desktop	Töölaud	دسکتاپ	Työpöytä	שולחן עבודה	Desktop	デスクトップ	데스크탑	Asztali	Bureaublad	Pulpit	Desktop	Десктоп	Desktop	Namizje	Skrivbord	Робочий стіл
new_folder	Google translate used except for 'fr' and 'en'	Nouveau dossier	New folder	Nueva carpeta	ملف جديد	新建文件夹	Новая папка	Նոր թղթապանակ	Нова папка	Nova pasta	Nová složka	Neuer Ordner	Uus kaust	پوشه جدید	Uusi kansio	תיקייה חדשה	Nuova cartella	新しいフォルダー	새 폴더	Új mappa	Nieuwe map	Nowy folder	Dosar nou	Нова фасцикла	Nový priečinok	Nova mapa	Ny mapp	Нова папка
refresh	Google translate used except for 'fr' and 'en'	Rafraichir	Refresh	Actualizar	ينعش	刷新	Обновить	Թարմացնել	Опресняване	Atualizar	Obnovit	Aktualisierung	Värskenda	تازه کردن	virkistää	לְרַעֲנֵן	ricaricare	リフレッシュ	새로 고치다	Frissítés	Vernieuwen	Odświeżać	Reîmprospăta	Освјежи	Obnoviť	Osveži	Uppdatera	Оновити
view	Google translate used except for 'fr' and 'en'	Affichage	View	Vista	منظر	看法	Вид	Դիտել	Преглед	Visualizar	Pohled	Sicht	Vaade	چشم انداز	Näytä	נוף	Visualizzazione	ビュー	보다	Kilátás	Weergave	Pogląd	Vedere	Поглед	vyhliadka	Pogled	Se	Переглянути
list_view	Google translate used except for 'fr' and 'en'	Liste	List	Lista	قائمة	列表	Список	Ցուցակ	списък	Lista	Seznam	Aufführen	Nimekiri	فهرست کنید	Lista	רשימה	Elenco	リスト	목록	Lista	Lijst	Lista	Listă	Листа	Zoznam	Seznam	Lista	Список
details_view	Google translate used except for 'fr' and 'en'	Détails	Details	Detalles	تفاصيل	细节	Подробности	Մանրամասներ	Подробности	Detalhes	Podrobnosti	Einzelheiten	Üksikasjad	جزئیات	Yksityiskohdat	פרטים	Dettagli	詳細	세부	Részletek	Details	Detale	Detalii	Детаљи	Podrobnosti	Podrobnosti	Detaljer	Подробиці
ok	Google translate used except for 'fr' and 'en'	Ok	Ok	De acuerdo	نعم	好的	Хорошо	Լավ	Добре	OK	OK	OK	Okei	خوب	Ok	בסדר	OK	わかりました	좋아요	Rendben	OK	OK	Bine	Ок	Dobre	V redu	Ok	В порядку
min	Google translate used except for 'fr' and 'en'	Min	Min	mín.	دقيقة	最小	Мин	Min	Мин	Mínimo	Min	Mindest	Min	حداقل	Min	מינימום	minimo	分	최소	Min	Min	Min	Min	Мин	Min	Min	Min	Хв
max	Google translate used except for 'fr' and 'en'	Max	Max	máx.	الأعلى	最大限度	Макс	Մաքս	Макс	Máx.	Max	Max	Max	حداکثر	Max	מקסימום	Massimo	マックス	맥스	Max	Max	Maks	Max	Макс	Max	maks	Max	Макс
step	Google translate used except for 'fr' and 'en'	Intervalle	Step	Paso	خطوة	步	Шаг	Քայլ	стъпка	Etapa	Krok	Schritt	Samm	گام	Vaihe	שלב	Fare un passo	ステップ	단계	Lépés	Stap	Krok	Etapa	Корак	Krok	korak	Steg	Крок
n	Google translate used except for 'fr' and 'en'	Nombre	N	norte	ن	氮	Н	Ն	н	N	N	N	N	ن	N	נ	N	N	N	N	N	N	N	Н	N	n	N	Н
name		Nom	Name	Nombre	اسم	姓名	Название	Անուն	Име	Nome	název	Name	Nimi	نام	Nimi	שֵׁם	Nome	名前	이름	Név	Naam	Nazwa	Nume	Име	Názov	Ime	Namn	Назва
description		Description	Description	Descripción	وصف	描述	Описание	Նկարագրություն	Описание	Descrição	Popis	Beschreibung	Kirjeldus	شرح	Kuvaus	תיאור	Descrizione	解説	설명	Leírás	Beschrijving	Opis	Descriere	Опис	Popis	Opis	Beskrivning	Опис
explorer	to be retranslated, current translation not ideal	Explorateur des composants	Component Explorer	Explorador	اكسبلورر	浏览器	Xplorer	Xplorer	Експлорър	Explorador	Xplorer	Explorer	Xplorer	جستجوگر	Xplorer	Xplorer	Esploratore	Xplorer	익스플로러	Xplorer	Xplorer	Xplorer	Xplorer	Ксплорер	Xplorer	Xplorer	Xplorer	Xplorer
baratinage_file		Fichier BaRatinAGE	BaRatinAGE file	Archivos BaRatinAGE	ملفات BaRatinAGE	BaRatinAGE 文件	Файлы BaRatinAGE	BaRatinAGE ֆայլեր	BaRatinAGE файлове	Arquivos BaRatinAGE	soubory BaRatinAGE	BaRatinAGE-Dateien	BaRatinAGE failid	فایل های BaRatinAGE	BaRatinAGE-tiedostot	קבצי BaRatinAGE	Files BaRatinAGE	BaRatinAGE ファイル	BaRatinAGE 파일	BaRatinAGE fájlok	BaRatinAGE bestanden	Pliki BaRatinAGE	Fișiere BaRatinAGE	БаРатинАГЕ датотеке	Súbory BaRatinAGE	Datoteke BaRatinAGE	BaRatinAGE-filer	Файли BaRatinAGE
data_text_file	Google translate used except for 'fr' and 'en'	Fichier text de données	Data text file	Archivo de texto de datos	ملف نصي للبيانات	数据文本文件	Текстовый файл данных	Տվյալների տեքստային ֆայլ	Текстов файл с данни	Arquivo de texto de dados	Datový textový soubor	Datentextdatei	Andmete tekstifail	فایل متنی داده	Data tekstitiedosto	קובץ טקסט נתונים	File di testo dati	データテキストファイル	데이터 텍스트 파일	Adat szöveges fájl	Gegevenstekstbestand	Plik tekstowy danych	Fișier text de date	Текстуална датотека са подацима	Dátový textový súbor	Podatkovna besedilna datoteka	Data textfil	Текстовий файл даних
column_separator	Google translate used except for 'fr' and 'en'	Séparateur de colonne	Column separator	Separador de columnas	فاصل العمود	柱隔板	Разделитель столбцов	Սյունակների բաժանարար	Разделител на колони	Separador de colunas	Oddělovač sloupců	Spaltentrenner	Veeru eraldaja	جداکننده ستون	Sarakkeen erotin	מפריד עמודות	Separatore di colonne	列区切り文字	열 구분 기호	Oszlopelválasztó	Kolomscheidingsteken	Separator kolumn	Separator de coloane	Раздвајач колона	Oddeľovač stĺpcov	Ločilo stolpcev	Kolumnavskiljare	Розділювач стовпців
has_header_row	Google translate used except for 'fr' and 'en'	Présence d'en-têtes (noms des colonnes)	Has header row (column names)	Tiene fila de encabezado (nombres de columnas)	يحتوي على صف رأس (أسماء الأعمدة)	有标题行（列名称）	Имеет строку заголовка (имена столбцов)	Ունի վերնագրի տող (սյունակների անուններ)	Има заглавен ред (имена на колони)	Possui linha de cabeçalho (nomes de colunas)	Má řádek záhlaví (názvy sloupců)	Hat eine Kopfzeile (Spaltennamen)	Sisaldab päise rida (veergude nimed)	دارای ردیف سرصفحه (نام ستون ها)	Sisältää otsikkorivin (sarakkeiden nimet)	יש שורת כותרת (שמות עמודות)	Ha una riga di intestazione (nomi di colonna)	ヘッダー行（列名）がある	헤더 행(열 이름) 있음	Van fejlécesor (oszlopnevek)	Heeft koprij (kolomnamen)	Zawiera wiersz nagłówka (nazwy kolumn)	Are un rând de antet (nume de coloane)	Има ред заглавља (називе колона)	Má riadok hlavičky (názvy stĺpcov)	Ima naslovno vrstico (imena stolpcev)	Har rubrikrad (kolumnnamn)	Має рядок заголовка (назви стовпців)
